  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      22	 09:23:00	  15.000	   86.51	 1007.85	   21.64	  720.39	   1.191	 -269.42	 -151.18	 -182.08	 -188.68	 -185.04	 -173.86	 -159.75	 -163.89	 -161.68	 -157.32	 -139.18	 -143.30	 -138.90	 -130.92	 -123.47	 -118.48	 -112.75	 -108.07	 -100.61	  -96.56	  -90.42	  -85.12	  -80.17	  -75.50	  -53.64	 -269.40	  117.63	  179.26	  155.28	  120.41	   98.42	   86.47	   74.59	   66.03	   57.26	   50.24	   43.86	   37.55	   32.31	   27.32	   22.50	   18.00	   14.10	   10.57	    7.01	    4.39	    1.29	   -1.49	  -53.64	  186.05	  184.94	  187.59	  188.42	  186.22	  186.20	  187.92	  185.85	  186.62	  186.96	  184.70	  182.57	  181.60	  177.74	  172.21	  167.57	  161.70	  154.96	  146.47	  138.27	  130.46	  123.00	  115.56	  111.67	  105.49	  104.83	  103.13	  100.61	  101.15	  105.09	  105.94	  108.63	  112.60	  118.53	  122.37	  126.55	  131.81	  136.52	  146.88	  155.09	  163.29	  170.06	  175.63	  179.48	  182.89	  184.39	  186.79	  186.15	   -9.94	   11.79	   11.27	    7.72	    2.14	   -9.94	   -5.13	  -11.88	  -11.61	  -12.27	  -10.75	   11.63	   -0.63	    0.14	    0.15	    0.22
      23	 09:23:18	  15.500	   88.58	 1007.85	   21.65	  719.30	   1.191	 -258.65	 -123.99	 -146.16	 -153.54	 -149.30	 -141.27	 -129.51	 -136.17	 -136.31	 -136.25	 -120.94	 -130.72	 -128.77	 -124.44	 -121.86	 -118.75	 -116.39	 -113.57	 -108.92	 -107.33	 -102.89	  -98.02	  -93.47	  -88.92	  -64.37	 -258.35	  129.45	  182.94	  156.08	  120.72	   98.56	   85.89	   74.21	   65.47	   56.40	   49.19	   42.47	   35.86	   30.35	   25.03	   19.86	   14.98	   10.71	    6.78	    2.87	   -0.28	   -3.91	   -7.30	  -64.37	  189.84	  188.85	  191.49	  192.26	  189.97	  189.56	  191.71	  189.76	  190.02	  188.72	  183.79	  179.02	  175.16	  168.65	  160.26	  151.45	  143.06	  134.84	  126.01	  116.57	  109.65	  105.13	  100.22	   99.04	   94.65	   96.55	   97.34	   98.49	  102.07	  109.08	  111.58	  115.66	  120.23	  126.62	  130.59	  134.76	  141.55	  147.84	  158.08	  167.50	  175.14	  179.88	  183.00	  185.89	  188.17	  189.18	  190.71	  189.71	  -12.05	   10.78	    8.94	    3.23	   -3.45	  -12.68	   -9.98	  -12.99	  -13.90	  -14.40	  -13.90	   10.85	   -0.60	    0.20	    0.21	    0.24
      24	 09:23:38	  16.000	   85.31	 1007.85	   21.67	  720.07	   1.191	 -233.30	 -109.62	 -127.57	 -134.01	 -131.32	 -125.36	 -114.90	 -123.70	 -125.03	 -125.14	 -112.36	 -123.19	 -123.01	 -119.73	 -117.62	 -115.37	 -114.00	 -111.71	 -107.20	 -106.49	 -103.30	  -98.18	  -94.52	  -90.27	  -67.20	 -233.72	  128.38	  177.42	  151.62	  117.52	   95.95	   83.80	   72.37	   63.78	   54.86	   47.74	   41.10	   34.54	   29.04	   23.72	   18.54	   13.63	    9.28	    5.25	    1.29	   -2.06	   -5.84	   -9.44	  -67.20	  184.42	  183.18	  185.83	  186.59	  184.30	  184.57	  185.82	  183.02	  181.25	  176.72	  165.49	  159.17	  151.86	  143.14	  134.63	  126.84	  119.49	  113.74	  106.99	  100.86	   97.38	   96.70	   95.88	   98.64	   98.14	  103.80	  106.13	  108.43	  112.58	  119.80	  123.28	  128.49	  132.34	  141.19	  144.82	  149.36	  154.55	  158.34	  165.76	  171.74	  176.51	  178.99	  181.14	  182.98	  184.01	  184.42	  185.53	  183.84	  -10.46	    8.87	    5.06	   -2.41	   -9.44	  -14.20	  -13.60	  -14.50	  -15.16	  -15.12	  -13.59	   10.03	   -0.68	    0.15	    0.19	    0.20
      25	 09:24:05	  16.500	   88.74	 1007.86	   21.69	  719.96	   1.191	 -228.67	  -98.74	 -119.42	 -124.71	 -122.25	 -115.31	 -105.46	 -114.16	 -116.88	 -117.82	 -106.67	 -118.73	 -119.12	 -116.39	 -116.21	 -115.28	 -114.97	 -113.62	 -110.29	 -110.18	 -107.61	 -103.21	  -99.65	  -95.91	  -71.49	 -228.78	  135.05	  183.11	  156.36	  121.01	   99.31	   86.73	   74.57	   65.63	   56.34	   48.89	   41.83	   35.13	   29.10	   23.47	   17.94	   12.67	    8.00	    3.65	   -0.55	   -4.30	   -8.36	  -12.41	  -71.49	  190.04	  189.17	  191.77	  192.34	  190.13	  189.57	  191.10	  188.18	  185.50	  179.90	  168.67	  161.24	  152.45	  142.72	  132.80	  124.52	  116.29	  109.79	  102.82	   96.73	   92.94	   92.64	   91.62	   94.93	   95.10	  101.65	  104.96	  106.93	  111.97	  120.92	  124.62	  130.03	  130.82	  137.95	  142.21	  147.41	  153.77	  157.94	  168.05	  175.71	  181.93	  185.21	  187.44	  189.10	  190.56	  190.69	  191.38	  190.11	  -12.40	    8.86	    4.88	   -3.30	  -11.05	  -15.66	  -15.56	  -15.78	  -16.14	  -17.45	  -15.93	    9.65	   -0.55	    0.17	    0.19	    0.19
      26	 09:24:51	  15.500	   87.99	 1007.87	   21.74	  719.47	   1.191	 -253.07	 -129.27	 -155.14	 -161.86	 -157.47	 -150.07	 -138.03	 -145.08	 -144.08	 -143.16	 -127.80	 -135.83	 -133.31	 -128.47	 -123.70	 -119.04	 -116.88	 -113.13	 -107.41	 -104.90	 -100.43	  -95.20	  -90.59	  -85.98	  -61.90	 -254.63	  125.94	  182.15	  156.84	  121.04	   99.44	   87.09	   75.21	   66.49	   57.52	   50.31	   43.70	   37.14	   31.72	   26.45	   21.39	   16.58	   12.39	    8.55	    4.74	    1.67	   -1.82	   -5.30	  -61.90	  188.59	  187.80	  190.43	  191.17	  188.94	  188.70	  190.48	  188.29	  186.93	  182.19	  171.25	  164.64	  157.46	  148.84	  139.11	  130.75	  122.79	  116.63	  109.99	  104.43	  101.02	  101.03	   98.71	  101.61	  101.03	  105.61	  108.63	  110.61	  115.26	  122.64	  126.38	  131.78	  135.50	  141.32	  145.74	  149.92	  154.98	  159.21	  166.75	  173.38	  179.33	  182.70	  185.72	  187.41	  188.23	  188.70	  189.65	  188.38	   -8.42	   10.06	    6.58	   -0.57	   -7.72	  -12.69	  -11.79	  -13.64	  -12.81	  -12.85	  -11.12	   11.04	   -0.36	    0.17	    0.20	    0.23
      27	 09:25:18	  14.500	   87.52	 1007.88	   21.75	  719.89	   1.191	 -301.07	 -183.37	 -225.55	 -231.48	 -216.67	 -198.55	 -179.37	 -179.13	 -172.71	 -164.32	 -142.99	 -143.80	 -135.48	 -125.55	 -117.03	 -109.60	 -103.77	  -97.73	  -89.95	  -86.48	  -80.54	  -74.69	  -70.17	  -66.20	  -45.86	 -300.98	  109.39	  181.32	  158.72	  123.34	  101.04	   88.68	   76.73	   68.25	   59.42	   52.48	   46.20	   40.10	   34.85	   29.97	   25.33	   21.01	   17.27	   14.02	   10.70	    8.40	    5.64	    3.09	  -45.86	  187.84	  186.89	  189.51	  190.31	  188.03	  188.17	  189.76	  187.71	  187.32	  184.71	  177.14	  171.85	  165.80	  158.67	  150.47	  142.84	  136.15	  129.52	  123.68	  117.71	  113.26	  110.86	  108.28	  109.97	  108.41	  112.54	  115.21	  116.57	  119.71	  126.17	  128.93	  133.18	  139.21	  145.17	  148.19	  152.55	  157.88	  161.87	  170.06	  175.43	  179.77	  182.37	  184.41	  186.24	  187.32	  187.76	  188.63	  187.18	   -4.20	   10.95	    7.97	    1.67	   -3.83	   -9.06	   -8.02	  -10.20	   -9.59	   -9.54	   -7.06	   11.72	   -0.12	    0.17	    0.22	    0.22
      28	 09:26:04	  13.500	   88.88	 1007.90	   21.80	  719.82	   1.190	 -697.40	 -526.53	 -675.85	 -467.59	 -295.24	 -245.08	 -200.53	 -179.63	 -154.65	 -134.27	 -103.64	 -101.21	  -91.02	  -80.38	  -75.55	  -74.07	  -72.28	  -68.85	  -63.70	  -61.04	  -56.94	  -52.35	  -50.58	  -50.58	  -33.19	 -698.27	  -10.52	  175.47	  171.65	  135.34	  111.37	   97.43	   84.15	   74.83	   65.41	   58.04	   51.55	   45.02	   39.79	   34.80	   30.19	   26.02	   22.36	   19.13	   15.95	   13.77	   11.25	    9.03	  -33.19	  187.77	  186.90	  189.52	  190.08	  188.00	  188.11	  189.62	  187.60	  188.59	  189.00	  185.34	  180.21	  173.00	  161.83	  148.11	  136.72	  129.64	  127.71	  131.91	  141.08	  154.26	  166.25	  174.38	  183.01	  184.05	  188.25	  188.14	  186.42	  187.02	  189.53	  187.70	  188.02	  188.23	  186.61	  187.99	  187.26	  187.89	  187.85	  188.93	  188.04	  188.33	  187.61	  187.85	  188.08	  188.12	  188.13	  188.95	  187.45	    6.25	   12.63	   12.35	    8.04	    4.81	    7.42	    5.25	    9.24	    9.49	    8.07	    7.49	   12.65	   -0.52	    0.17	    0.20	    0.23
      29	 09:26:27	  12.500	   88.65	 1007.91	   21.80	  720.15	   1.190	 -759.77	 -553.48	 -680.80	 -392.30	 -302.73	 -254.52	 -209.95	 -190.40	 -166.12	 -145.89	 -114.98	 -111.17	 -100.15	  -88.35	  -81.73	  -81.12	  -81.19	  -79.30	  -74.71	  -72.47	  -66.21	  -58.68	  -52.47	  -48.02	  -25.46	 -763.10	   -9.54	  176.43	  169.19	  131.80	  107.76	   94.35	   80.95	   71.98	   62.92	   55.91	   49.86	   43.77	   38.91	   34.35	   30.20	   26.52	   23.42	   20.69	   18.07	   16.49	   14.65	   13.10	  -25.46	  187.45	  186.63	  189.12	  189.78	  187.66	  187.77	  189.34	  187.35	  188.19	  188.88	  188.15	  187.63	  188.66	  188.54	  187.70	  189.12	  188.68	  189.34	  188.00	  186.96	  182.53	  175.22	  159.89	  145.41	  129.75	  124.60	  128.20	  137.79	  153.91	  172.71	  180.77	  185.72	  187.92	  187.11	  188.01	  187.29	  187.85	  187.78	  188.83	  187.86	  188.31	  187.73	  187.82	  188.02	  188.17	  188.24	  188.96	  187.37	    7.11	   12.37	   12.80	   12.00	   11.03	    7.26	    9.44	    7.37	    9.37	    8.63	    8.30	   12.44	   -0.92	    0.17	    0.21	    0.21
      30	 09:26:57	  11.500	   88.26	 1007.91	   21.82	  720.03	   1.190	 -708.79	 -474.53	 -558.39	 -538.01	 -271.22	 -240.96	 -204.43	 -188.49	 -165.52	 -148.27	 -117.53	 -114.85	 -103.61	  -91.11	  -82.38	  -79.79	  -79.52	  -77.92	  -74.80	  -73.03	  -66.77	  -58.90	  -51.01	  -44.76	  -15.13	 -709.63	   18.07	  176.86	  162.65	  124.63	  100.75	   88.36	   75.80	   67.41	   58.99	   52.56	   46.94	   41.44	   37.12	   33.11	   29.45	   26.31	   23.76	   21.66	   19.59	   18.67	   17.50	   16.79	  -15.13	  185.48	  184.36	  187.05	  187.76	  185.58	  185.66	  187.26	  185.07	  186.03	  186.49	  185.81	  185.34	  186.41	  186.47	  185.83	  186.93	  186.38	  187.23	  185.93	  185.55	  184.04	  181.24	  170.08	  157.50	  139.81	  129.43	  129.53	  137.97	  153.83	  172.81	  180.18	  184.07	  185.53	  185.35	  185.70	  184.82	  185.66	  185.37	  186.20	  185.76	  186.16	  185.28	  185.40	  185.80	  185.67	  185.84	  186.58	  184.91	    7.58	   12.82	   13.19	   12.37	   11.48	    9.07	   11.24	    9.14	   10.13	    8.96	    8.70	   12.93	   -0.10	    0.20	    0.23	    0.26
      31	 09:27:13	  10.500	   88.94	 1007.94	   21.83	  719.59	   1.190	 -779.80	 -429.79	 -484.18	 -472.69	 -247.33	 -236.27	 -206.31	 -192.07	 -172.25	 -155.65	 -127.53	 -127.47	 -116.53	 -102.07	  -91.66	  -82.89	  -75.80	  -68.26	  -58.80	  -52.38	  -44.34	  -36.25	  -28.27	  -22.83	   -1.75	 -782.15	   50.50	  179.28	  158.23	  119.83	   96.30	   83.35	   71.97	   64.01	   56.09	   50.11	   44.90	   39.98	   36.07	   32.50	   29.36	   26.72	   24.68	   23.15	   21.72	   21.47	   21.09	   21.14	   -1.75	  186.24	  185.26	  187.96	  188.60	  186.42	  186.45	  187.92	  186.09	  186.90	  187.61	  186.77	  186.21	  187.30	  187.33	  186.67	  187.75	  187.18	  188.02	  186.76	  186.54	  185.97	  186.11	  181.12	  171.32	  152.76	  139.38	  135.01	  142.28	  157.48	  176.13	  182.69	  185.56	  186.11	  186.59	  186.02	  185.30	  185.98	  185.94	  186.53	  186.15	  186.50	  185.71	  185.87	  186.20	  186.19	  186.28	  187.09	  185.31	    7.26	   12.41	   12.74	   11.90	   10.97	    9.19	   11.31	    8.97	    9.78	    8.56	    8.32	   12.48	   -0.93	    0.17	    0.20	    0.22
      32	 09:27:28	   9.500	   89.03	 1007.93	   21.84	  719.80	   1.190	 -722.09	 -446.60	 -444.54	 -362.75	 -309.10	 -241.53	 -206.26	 -191.46	 -173.89	 -159.43	 -134.23	 -134.13	 -124.53	 -110.90	  -98.24	  -87.18	  -75.57	  -62.84	  -49.61	  -39.06	  -28.27	  -15.60	   -7.16	   -1.30	   13.58	 -723.53	   75.64	  180.63	  152.92	  113.21	   90.86	   78.18	   67.04	   59.58	   52.25	   46.73	   41.94	   37.54	   34.06	   31.00	   28.37	   26.21	   24.76	   23.84	   23.07	   23.66	   24.03	   25.16	   13.58	  186.85	  185.90	  188.46	  189.11	  187.02	  187.22	  188.62	  186.73	  187.58	  188.10	  187.43	  186.84	  187.85	  187.94	  187.13	  188.35	  187.91	  188.74	  187.51	  187.33	  186.68	  187.57	  186.02	  184.18	  170.59	  151.75	  138.97	  141.20	  156.75	  177.87	  184.63	  186.80	  187.71	  187.22	  187.54	  186.70	  187.30	  187.31	  187.74	  187.66	  188.06	  187.31	  187.37	  187.72	  187.72	  187.76	  188.50	  186.95	    7.88	   12.91	   13.26	   12.39	   11.41	   10.44	   12.06	    9.93	   10.35	    9.10	    8.87	   13.00	   -0.59	    0.15	    0.18	    0.19
